code,n_rows_total,n_turbines_seen,first_seen,last_seen,years_seen,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,median_duration_s,share_rows_with_TimeOff,is_documented,description,stopping
4300,308,21,2016-03-01 11:53:00,2026-04-28 11:51:00,2016;2017;2018;2019;2020;2021;2022;2024;2025;2026,42,23,66,25,76,15,19,0,16,22,4,1209.0,0.9968,0,,
4306,28,17,2016-03-01 14:23:32,2025-08-23 10:30:32,2016;2017;2020;2024;2025,15,2,0,0,4,0,0,0,1,6,0,2915.0,0.9643,0,,
4307,27,17,2016-03-01 14:23:32,2025-08-23 10:30:32,2016;2017;2020;2024;2025,15,2,0,0,4,0,0,0,1,5,0,2913.5,0.963,0,,
5103,99,21,2016-06-30 04:51:48,2025-03-31 07:30:54,2016;2018;2019;2020;2021;2022;2023;2024;2025,25,0,1,3,13,1,13,21,1,21,0,7272.0,1.0,0,,
5104,3110,21,2016-02-09 08:31:51,2026-04-23 13:05:41,2016-2026,345,534,372,174,138,259,371,208,519,157,33,3310.0,0.9994,0,,
5110,3403,21,2016-02-09 08:31:52,2026-04-23 13:05:42,2016-2026,362,546,392,188,154,291,419,271,543,201,36,2913.0,0.9994,0,,
5111,3404,21,2016-02-09 08:31:52,2026-04-23 13:05:42,2016-2026,362,547,390,183,152,300,421,269,545,199,36,2813.5,0.9994,0,,
5112,3156,21,2016-02-09 08:32:00,2026-04-23 13:05:50,2016-2026,330,530,341,165,140,267,395,262,519,175,32,2830.0,0.9997,0,,
5113,2526,21,2016-02-09 08:35:09,2026-04-23 12:28:00,2016-2026,275,488,264,112,91,203,325,180,445,120,23,3665.0,0.9996,0,,
5122,10952,21,2016-01-12 15:51:08,2026-04-23 13:05:40,2016-2026,1161,1278,880,615,786,1329,1523,1278,1166,655,281,0.0,0.9999,0,,
5131,40,21,2017-12-08 06:51:33,2022-03-03 02:55:21,2017;2021;2022,0,20,0,0,0,15,5,0,0,0,0,1332.5,1.0,0,,
5200,507,21,2016-06-30 04:51:48,2026-02-27 14:10:07,2016-2026,26,7,67,27,21,53,122,53,105,25,1,5465.0,1.0,0,,
5201,2139,21,2016-08-19 12:45:36,2026-04-23 13:05:42,2016-2026,2,40,248,175,138,251,372,207,515,158,33,2761.0,0.9991,0,,
5600,11,6,2018-04-14 08:29:18,2022-09-15 11:33:32,2018;2019;2021;2022,0,0,2,7,0,1,1,0,0,0,0,131.0,1.0,0,,
6100,33,8,2016-09-09 10:49:26,2025-09-30 12:42:40,2016;2017;2018;2019;2020;2022;2023;2025,4,2,4,2,2,0,3,15,0,1,0,834.0,0.9697,0,,
6101,46,16,2016-02-01 21:13:41,2025-12-20 09:48:41,2016;2017;2018;2020;2021;2022;2023;2024;2025,1,1,5,0,1,2,1,10,9,16,0,1643.0,1.0,0,,
6102,57,19,2016-02-01 23:19:22,2025-09-24 05:36:15,2016-2025,12,1,13,4,3,6,2,8,6,2,0,3190.5,0.9825,0,,
6160,9,6,2019-01-07 17:57:44,2024-04-18 12:37:19,2019;2020;2021;2023;2024,0,0,0,3,1,2,0,2,1,0,0,3804.0,1.0,0,,
6300,2,2,2016-02-16 15:04:02,2016-07-19 12:43:13,2016,2,0,0,0,0,0,0,0,0,0,0,754.0,1.0,0,,
7100,566,21,2016-03-03 15:11:18,2026-04-29 08:42:43,2016-2026,35,95,69,63,95,45,49,32,15,63,5,955.0,1.0,0,,
7101,114,21,2016-01-10 18:43:33,2026-04-14 13:27:33,2016;2018;2019;2020;2021;2022;2023;2024;2025;2026,8,0,1,42,6,10,2,2,14,28,1,1117.5,1.0,0,,
7102,36,8,2016-03-27 03:50:28,2025-12-13 20:40:05,2016;2017;2018;2019;2020;2022;2023;2024;2025,2,5,3,1,8,0,2,5,1,9,0,11002.0,1.0,0,,
7103,63,10,2018-08-07 13:50:29,2025-12-21 15:56:14,2018;2021;2022;2023;2025,0,0,1,0,0,3,29,15,0,15,0,47.0,0.9683,0,,
