event_id,farm,turbine,start,duration_h,lost_energy_mwh,planned_charge_mwh_p50,planned_charge_mwh_p75,recoverable_mwh_p50,recoverable_mwh_p75,clipped_p50,clipped_p75,zero_energy
889,kelmarsh,K05,2023-03-16 10:40:45,0.08,0.0,0.0,0.0,0.0,0.0,False,False,True
890,kelmarsh,K05,2023-03-16 11:47:13,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
891,kelmarsh,K05,2023-03-16 13:51:53,0.03,0.0,0.0,0.0,0.0,0.0,False,False,True
892,kelmarsh,K05,2023-03-16 15:14:35,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
893,kelmarsh,K05,2023-03-16 17:30:09,14.223056,6.78324,0.379791,0.973593,6.40345,5.809648,False,False,False
894,kelmarsh,K05,2023-03-17 08:32:23,0.037222,0.0,0.0,0.0,0.0,0.0,False,False,True
895,kelmarsh,K05,2023-03-17 10:36:15,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
896,kelmarsh,K05,2023-03-17 12:52:56,0.03,0.0,0.0,0.0,0.0,0.0,False,False,True
897,kelmarsh,K05,2023-03-17 13:54:17,0.071389,0.0,0.0,0.0,0.0,0.0,False,False,True
898,kelmarsh,K05,2023-03-17 15:03:40,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
899,kelmarsh,K05,2023-03-17 16:51:32,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
900,kelmarsh,K05,2023-03-17 17:52:40,0.258611,0.0,0.0,0.0,0.0,0.0,False,False,True
901,kelmarsh,K05,2023-03-17 18:54:45,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
902,kelmarsh,K05,2023-03-17 19:56:55,0.030556,0.0,0.0,0.0,0.0,0.0,False,False,True
903,kelmarsh,K05,2023-03-17 20:58:49,0.259167,0.014721,0.034969,0.089644,0.0,0.0,True,True,False
904,kelmarsh,K05,2023-03-17 22:00:40,0.054444,0.0,0.0,0.0,0.0,0.0,False,False,True
905,kelmarsh,K05,2023-03-18 02:09:26,0.0725,0.0,0.0,0.0,0.0,0.0,False,False,True
906,kelmarsh,K05,2023-03-18 04:15:49,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
907,kelmarsh,K05,2023-03-18 05:17:43,9.129444,0.43336,0.037433,0.09596,0.395927,0.3374,False,False,False
909,kelmarsh,K05,2023-04-18 00:44:12,0.033333,0.0,0.0,0.0,0.0,0.0,False,False,True
910,kelmarsh,K05,2023-04-18 02:19:58,0.033333,0.033439,0.275606,0.706514,0.0,0.0,True,True,False
911,kelmarsh,K05,2023-04-18 04:47:58,0.033333,0.0,0.0,0.0,0.0,0.0,False,False,True
912,kelmarsh,K05,2023-04-18 06:50:34,0.112222,0.0,0.0,0.0,0.0,0.0,False,False,True
913,kelmarsh,K05,2023-04-19 06:04:02,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
914,kelmarsh,K05,2023-04-19 06:08:01,0.040556,0.046385,0.497131,1.274393,0.0,0.0,True,True,False
916,kelmarsh,K05,2023-04-25 05:23:55,0.033333,0.0,0.0,0.0,0.0,0.0,False,False,True
917,kelmarsh,K05,2023-04-25 05:27:21,0.05,0.048568,0.484753,1.242664,0.0,0.0,True,True,False
918,kelmarsh,K05,2023-04-27 07:46:16,0.041111,0.0,0.0,0.0,0.0,0.0,False,False,True
919,kelmarsh,K05,2023-04-27 19:56:25,0.069167,0.1049,0.498362,1.277549,0.0,0.0,True,True,False
920,kelmarsh,K05,2023-04-27 20:03:34,0.033611,0.0,0.0,0.0,0.0,0.0,False,False,True
921,kelmarsh,K05,2023-04-27 22:27:42,7.397778,1.396655,0.147451,0.377989,1.249204,1.018666,False,False,False
922,kelmarsh,K05,2023-04-28 08:50:08,0.05,0.0,0.0,0.0,0.0,0.0,False,False,True
923,kelmarsh,K05,2023-04-29 00:59:17,0.025278,0.0,0.0,0.0,0.0,0.0,False,False,True
924,kelmarsh,K05,2023-04-29 01:50:35,0.033333,0.0,0.0,0.0,0.0,0.0,False,False,True
925,kelmarsh,K05,2023-05-01 06:32:16,0.03,0.0,0.0,0.0,0.0,0.0,False,False,True
926,kelmarsh,K05,2023-05-01 06:40:01,0.135278,0.0,0.0,0.0,0.0,0.0,False,False,True
927,kelmarsh,K05,2023-05-01 06:49:22,2.120833,0.400621,0.146406,0.375312,0.254215,0.025308,False,False,False
928,kelmarsh,K05,2023-05-04 03:24:44,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
929,kelmarsh,K05,2023-05-04 03:43:34,0.056389,0.0,0.0,0.0,0.0,0.0,False,False,True
930,kelmarsh,K05,2023-05-04 03:48:05,0.048056,0.016704,0.079357,0.203431,0.0,0.0,True,True,False
931,kelmarsh,K05,2023-05-04 03:54:21,0.025,0.0,0.0,0.0,0.0,0.0,False,False,True
932,kelmarsh,K05,2023-05-04 04:05:54,1.414722,0.613009,0.359486,0.921541,0.253524,0.0,False,True,False
933,kelmarsh,K05,2023-05-05 03:03:07,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
934,kelmarsh,K05,2023-05-05 03:18:41,0.03,0.0,0.0,0.0,0.0,0.0,False,False,True
